year,partner,value_usd,cmd,partner_name
2010,76,12395359.602,080920,Brazil
2010,858,177115.825,080920,Uruguay
2010,862,657694.015,080920,862
2010,188,81129.38,080920,Costa Rica
2010,724,7483094.988,080920,Spain
2010,276,1582589.52,080920,Germany
2010,124,3376118.063,080920,Canada
2010,591,61586.509,080920,Panama
2010,826,9564303.25,080920,UK
2010,156,37168042.216,080920,China
2010,320,32765.6,080920,320
2010,899,111516.87,080920,899
2010,392,250265.051,080920,Japan
2010,380,1792945.112,080920,Italy
2010,251,1994200.126,080920,251
2010,214,14268.0,080920,214
2010,56,140239.51,080920,Belgium
2010,528,5154084.367,080920,Netherlands
2010,222,15496.6,080920,222
2010,340,26045.78,080920,340
2010,490,22250527.532,080920,Taiwan
2010,458,213682.805,080920,Malaysia
2010,344,67090904.455,080920,Hong Kong
2010,348,12315.93,080920,348
2010,260,84962.936,080920,260
2010,258,16264.133,080920,258
2010,360,38939.003,080920,Indonesia
2010,398,24724.27,080920,398
2010,372,26053.29,080920,372
2010,300,22174.19,080920,300
2010,196,200741.787,080920,196
2010,834,11442.8,080920,834
2010,792,10270.0,080920,Turkey
2010,699,166108.44,080920,699
2010,702,1107026.242,080920,Singapore
2010,704,61579.85,080920,Vietnam
2010,764,1219042.55,080920,Thailand
2010,784,148758.34,080920,UAE
2010,608,148552.718,080920,Philippines
2010,643,1220163.448,080920,Russia
2010,634,13187.23,080920,Qatar
2010,620,127058.29,080920,620
2010,682,448490.37,080920,Saudi Arabia
2010,218,1724880.04,080920,Ecuador
2010,484,1381588.17,080920,Mexico
2010,170,817987.041,080920,Colombia
2010,842,74974504.864,080920,USA
2010,68,180820.377,080920,68
2010,32,36800.0,080920,Argentina
2010,604,94071.941,080920,Peru
2011,484,1529218.2,080920,Mexico
2011,858,100490.02,080920,Uruguay
2011,188,63795.87,080920,Costa Rica
2011,862,1791452.792,080920,862
2011,724,6303212.68,080920,Spain
2011,276,1057979.54,080920,Germany
2011,124,1397627.435,080920,Canada
2011,591,62309.16,080920,Panama
2011,826,12134247.678,080920,UK
2011,156,95066409.67,080920,China
2011,528,5898599.702,080920,Netherlands
2011,320,19367.8,080920,320
2011,380,1532842.515,080920,Italy
2011,251,1950346.112,080920,251
2011,392,384403.472,080920,Japan
2011,214,10486.59,080920,214
2011,752,16057.284,080920,Sweden
2011,222,17573.0,080920,222
2011,56,115887.44,080920,Belgium
2011,899,176099.35,080920,899
2011,340,25276.0,080920,340
2011,410,33339.0,080920,South Korea
2011,344,99257428.223,080920,Hong Kong
2011,300,7645.492,080920,300
2011,490,27540523.089,080920,Taiwan
2011,332,27681.75,080920,332
2011,398,53310.18,080920,398
2011,608,251129.462,080920,Philippines
2011,764,2114903.739,080920,Thailand
2011,196,97882.551,080920,196
2011,258,272480.396,080920,258
2011,260,25880.0,080920,260
2011,360,123210.29,080920,Indonesia
2011,458,442185.82,080920,Malaysia
2011,577,8940.0,080920,577
2011,682,540944.7,080920,Saudi Arabia
2011,699,466343.091,080920,699
2011,702,1386038.374,080920,Singapore
2011,792,8415.05,080920,Turkey
2011,704,144048.72,080920,Vietnam
2011,705,3666.62,080920,705
2011,414,6006.0,080920,Kuwait
2011,620,63524.5,080920,620
2011,634,9051.06,080920,Qatar
2011,643,1507457.04,080920,Russia
2011,784,600025.524,080920,UAE
2011,76,14260304.112,080920,Brazil
2011,218,1735220.243,080920,Ecuador
2011,170,927153.815,080920,Colombia
2011,842,83458331.558,080920,USA
2011,68,113461.144,080920,68
2011,32,22400.0,080920,Argentina
2011,604,214226.615,080920,Peru
2012,320,9814.0,080929,320
2012,170,1104097.0,080929,Colombia
2012,360,27378.0,080929,Indonesia
2012,702,1102043.0,080929,Singapore
2012,899,192499.0,080929,899
2012,276,1499335.0,080929,Germany
2012,604,203135.0,080929,Peru
2012,344,58914653.0,080929,Hong Kong
2012,392,305206.0,080929,Japan
2012,251,2296785.0,080929,251
2012,76,12492254.0,080929,Brazil
2012,156,187955442.0,080929,China
2012,68,233256.0,080929,68
2012,862,907522.0,080929,862
2012,398,7011.0,080929,398
2012,484,1138883.0,080929,Mexico
2012,752,9178.0,080929,Sweden
2012,124,1126529.0,080929,Canada
2012,842,49424704.0,080929,USA
2012,218,2246288.0,080929,Ecuador
2012,414,16740.0,080929,Kuwait
2012,616,130244.0,080929,Poland
2012,792,7977.0,080929,Turkey
2012,222,25846.0,080929,222
2012,340,32093.0,080929,340
2012,764,2692487.0,080929,Thailand
2012,784,397336.0,080929,UAE
2012,188,49223.0,080929,Costa Rica
2012,400,6450.0,080929,400
2012,490,22431612.0,080929,Taiwan
2012,380,1126028.0,080929,Italy
2012,591,106445.0,080929,Panama
2012,32,20880.0,080929,Argentina
2012,608,360612.0,080929,Philippines
2012,620,3897.0,080929,620
2012,724,4552097.0,080929,Spain
2012,643,925887.0,080929,Russia
2012,858,152061.0,080929,Uruguay
2012,300,4012.0,080929,300
2012,214,28030.0,080929,214
2012,528,5428172.0,080929,Netherlands
2012,699,592191.0,080929,699
2012,826,12649721.0,080929,UK
2012,682,486696.0,080929,Saudi Arabia
2012,704,262814.0,080929,Vietnam
2012,56,71740.0,080929,Belgium
2012,458,423588.0,080929,Malaysia
2012,196,15185.0,080929,196
2013,724,2775683.43,080929,Spain
2013,188,47899.05,080929,Costa Rica
2013,124,778037.126,080929,Canada
2013,276,1086208.46,080929,Germany
2013,591,79983.27,080929,Panama
2013,214,21148.82,080929,214
2013,862,866119.73,080929,862
2013,156,261595090.582,080929,China
2013,826,8277000.331,080929,UK
2013,320,21710.85,080929,320
2013,251,2269332.918,080929,251
2013,528,5505330.713,080929,Netherlands
2013,380,1178119.349,080929,Italy
2013,410,7779.3,080929,South Korea
2013,222,18356.54,080929,222
2013,56,9734.99,080929,Belgium
2013,899,292039.01,080929,899
2013,344,24901169.758,080929,Hong Kong
2013,757,5947.33,080929,757
2013,398,38226.405,080929,398
2013,704,298735.95,080929,Vietnam
2013,196,3000.0,080929,196
2013,458,412065.77,080929,Malaysia
2013,414,14620.0,080929,Kuwait
2013,699,304129.37,080929,699
2013,686,35149.2,080929,686
2013,300,13260.8,080929,300
2013,490,16493420.529,080929,Taiwan
2013,260,7522.0,080929,260
2013,258,48064.66,080929,258
2013,784,506646.438,080929,UAE
2013,764,2188240.002,080929,Thailand
2013,577,6408.08,080929,577
2013,620,7871.3,080929,620
2013,702,739107.12,080929,Singapore
2013,682,259560.22,080929,Saudi Arabia
2013,643,456979.6,080929,Russia
2013,372,6142.3,080929,372
2013,608,384940.09,080929,Philippines
2013,360,24327.1,080929,Indonesia
2013,484,1557647.15,080929,Mexico
2013,76,15327076.09,080929,Brazil
2013,858,138214.6,080929,Uruguay
2013,218,2037035.86,080929,Ecuador
2013,170,833495.07,080929,Colombia
2013,842,39131485.466,080929,USA
2013,32,5504.0,080929,Argentina
2013,68,212840.35,080929,68
2013,604,105226.29,080929,Peru
2014,724,3616973.954,080929,Spain
2014,188,40802.31,080929,Costa Rica
2014,591,136383.11,080929,Panama
2014,276,1123233.1,080929,Germany
2014,214,41939.84,080929,214
2014,124,1029634.54,080929,Canada
2014,528,8135212.427,080929,Netherlands
2014,826,11564389.059,080929,UK
2014,156,443019548.068,080929,China
2014,320,25886.09,080929,320
2014,862,25731.0,080929,862
2014,380,972215.38,080929,Italy
2014,251,2378878.67,080929,251
2014,392,92326.2,080929,Japan
2014,56,29668.75,080929,Belgium
2014,410,61461.9,080929,South Korea
2014,222,37051.86,080929,222
2014,899,154825.8,080929,899
2014,340,20487.31,080929,340
2014,699,301074.922,080929,699
2014,344,30376292.798,080929,Hong Kong
2014,398,35960.033,080929,398
2014,400,2955.2,080929,400
2014,414,9289.58,080929,Kuwait
2014,442,13266.87,080929,442
2014,458,317492.59,080929,Malaysia
2014,470,10381.19,080929,470
2014,634,18804.9,080929,Qatar
2014,643,811939.77,080929,Russia
2014,682,431852.76,080929,Saudi Arabia
2014,258,15351.29,080929,258
2014,764,2851041.602,080929,Thailand
2014,784,310295.67,080929,UAE
2014,196,2891.25,080929,196
2014,372,89410.35,080929,372
2014,608,410997.34,080929,Philippines
2014,702,521624.4,080929,Singapore
2014,704,684899.51,080929,Vietnam
2014,818,8192.6,080929,Egypt
2014,490,25778310.799,080929,Taiwan
2014,360,25282.53,080929,Indonesia
2014,484,944107.95,080929,Mexico
2014,218,2394761.31,080929,Ecuador
2014,858,129149.59,080929,Uruguay
2014,76,10775438.39,080929,Brazil
2014,170,550814.61,080929,Colombia
2014,842,42549529.855,080929,USA
2014,32,36610.92,080929,Argentina
2014,68,362815.89,080929,68
2014,604,223916.173,080929,Peru
2015,724,1818814.0,080929,Spain
2015,188,29141.0,080929,Costa Rica
2015,276,395606.0,080929,Germany
2015,591,115058.0,080929,Panama
2015,214,28590.0,080929,214
2015,124,599035.0,080929,Canada
2015,156,420629693.0,080929,China
2015,320,32555.0,080929,320
2015,826,7983092.0,080929,UK
2015,380,795456.0,080929,Italy
2015,528,2902458.0,080929,Netherlands
2015,251,1408259.0,080929,251
2015,392,248851.0,080929,Japan
2015,340,17038.0,080929,340
2015,222,26955.0,080929,222
2015,862,3840.0,080929,862
2015,410,133296.0,080929,South Korea
2015,899,158943.0,080929,899
2015,344,14135958.0,080929,Hong Kong
2015,490,14587066.0,080929,Taiwan
2015,398,15267.0,080929,398
2015,360,24033.0,080929,Indonesia
2015,372,60735.0,080929,372
2015,196,3364.0,080929,196
2015,300,4086.0,080929,300
2015,470,12109.0,080929,470
2015,699,125954.0,080929,699
2015,702,404503.0,080929,Singapore
2015,704,553331.0,080929,Vietnam
2015,116,1680.0,080929,Cambodia
2015,422,4969.0,080929,422
2015,458,98730.0,080929,Malaysia
2015,894,32248.0,080929,894
2015,764,2554788.0,080929,Thailand
2015,784,263791.0,080929,UAE
2015,608,463203.0,080929,Philippines
2015,620,6043.0,080929,620
2015,642,7478.0,080929,642
2015,643,492386.0,080929,Russia
2015,682,158892.0,080929,Saudi Arabia
2015,258,21870.0,080929,258
2015,260,44720.0,080929,260
2015,818,4332.0,080929,Egypt
2015,484,513552.0,080929,Mexico
2015,218,1769178.0,080929,Ecuador
2015,858,97684.0,080929,Uruguay
2015,76,10071624.0,080929,Brazil
2015,170,496576.0,080929,Colombia
2015,842,31927870.0,080929,USA
2015,68,313988.0,080929,68
2015,604,162300.0,080929,Peru
2016,724,2664545.0,080929,Spain
2016,188,23662.0,080929,Costa Rica
2016,591,185039.0,080929,Panama
2016,276,883460.0,080929,Germany
2016,124,947081.0,080929,Canada
2016,156,729387975.0,080929,China
2016,320,14315.0,080929,320
2016,214,66243.0,080929,214
2016,528,2861479.0,080929,Netherlands
2016,826,10372737.0,080929,UK
2016,380,1080681.0,080929,Italy
2016,392,99954.0,080929,Japan
2016,251,2035764.0,080929,251
2016,410,6648699.0,080929,South Korea
2016,222,10846.0,080929,222
2016,340,38736.0,080929,340
2016,899,207471.0,080929,899
2016,490,17363953.0,080929,Taiwan
2016,699,245435.0,080929,699
2016,702,480587.0,080929,Singapore
2016,704,483057.0,080929,Vietnam
2016,764,5302674.0,080929,Thailand
2016,784,289510.0,080929,UAE
2016,48,3014.0,080929,48
2016,116,41649.0,080929,Cambodia
2016,196,2539.0,080929,196
2016,300,5478.0,080929,300
2016,414,11394.0,080929,Kuwait
2016,620,39631.0,080929,620
2016,643,814107.0,080929,Russia
2016,682,441418.0,080929,Saudi Arabia
2016,804,14326.0,080929,Ukraine
2016,458,149869.0,080929,Malaysia
2016,608,843137.0,080929,Philippines
2016,258,40271.0,080929,258
2016,260,61788.0,080929,260
2016,344,15200339.0,080929,Hong Kong
2016,360,10119.0,080929,Indonesia
2016,372,29866.0,080929,372
2016,858,136696.0,080929,Uruguay
2016,484,1024284.0,080929,Mexico
2016,76,11131235.0,080929,Brazil
2016,218,1856372.0,080929,Ecuador
2016,68,473108.0,080929,68
2016,170,289101.0,080929,Colombia
2016,842,36028997.0,080929,USA
2016,604,204535.0,080929,Peru
2017,858,102103.0,080929,Uruguay
2017,484,1016515.0,080929,Mexico
2017,724,1731691.0,080929,Spain
2017,188,43253.0,080929,Costa Rica
2017,591,192572.0,080929,Panama
2017,124,1647952.0,080929,Canada
2017,276,761016.0,080929,Germany
2017,156,481176153.0,080929,China
2017,320,32032.0,080929,320
2017,528,2149468.0,080929,Netherlands
2017,214,30051.0,080929,214
2017,380,567969.0,080929,Italy
2017,392,347154.0,080929,Japan
2017,222,10976.0,080929,222
2017,251,1154801.0,080929,251
2017,410,8791380.0,080929,South Korea
2017,826,6700947.0,080929,UK
2017,56,647661.0,080929,Belgium
2017,340,12839.0,080929,340
2017,899,72448.0,080929,899
2017,699,208931.0,080929,699
2017,490,12661325.0,080929,Taiwan
2017,372,35671.0,080929,372
2017,258,72926.0,080929,258
2017,260,20221.0,080929,260
2017,116,61269.0,080929,Cambodia
2017,48,4770.0,080929,48
2017,702,229256.0,080929,Singapore
2017,757,37457.0,080929,757
2017,414,3041.0,080929,Kuwait
2017,458,105880.0,080929,Malaysia
2017,344,9816200.0,080929,Hong Kong
2017,352,5756.0,080929,352
2017,784,207131.0,080929,UAE
2017,804,9126.0,080929,Ukraine
2017,634,9071.0,080929,Qatar
2017,643,709423.0,080929,Russia
2017,682,472008.0,080929,Saudi Arabia
2017,764,2960103.0,080929,Thailand
2017,608,516140.0,080929,Philippines
2017,620,21818.0,080929,620
2017,76,11056919.0,080929,Brazil
2017,218,1627723.0,080929,Ecuador
2017,170,206594.0,080929,Colombia
2017,842,23414004.0,080929,USA
2017,68,519973.0,080929,68
2017,604,344420.0,080929,Peru
2018,68,567581.0,080929,68
2018,858,92918.0,080929,Uruguay
2018,724,2785741.0,080929,Spain
2018,188,63912.0,080929,Costa Rica
2018,156,1009955420.0,080929,China
2018,124,1727262.0,080929,Canada
2018,591,142012.0,080929,Panama
2018,276,655276.0,080929,Germany
2018,214,36450.0,080929,214
2018,320,49112.0,080929,320
2018,528,2192814.0,080929,Netherlands
2018,826,8227751.0,080929,UK
2018,251,1203341.0,080929,251
2018,380,861110.0,080929,Italy
2018,222,20234.0,080929,222
2018,392,149124.0,080929,Japan
2018,410,22243190.0,080929,South Korea
2018,558,9535.0,080929,558
2018,340,15561.0,080929,340
2018,699,508284.0,080929,699
2018,196,2529.0,080929,196
2018,344,12924815.0,080929,Hong Kong
2018,764,5443388.0,080929,Thailand
2018,784,124491.0,080929,UAE
2018,682,425726.0,080929,Saudi Arabia
2018,620,29550.0,080929,620
2018,608,759445.0,080929,Philippines
2018,398,17040.0,080929,398
2018,899,80088.0,080929,899
2018,458,117972.0,080929,Malaysia
2018,757,12064.0,080929,757
2018,660,106344.0,080929,Anguilla
2018,643,937921.0,080929,Russia
2018,258,61145.0,080929,258
2018,634,2837.0,080929,Qatar
2018,260,13312.0,080929,260
2018,116,37026.0,080929,Cambodia
2018,352,33844.0,080929,352
2018,372,9067.0,080929,372
2018,96,42240.0,080929,96
2018,300,10236.0,080929,300
2018,490,17723202.0,080929,Taiwan
2018,702,561262.0,080929,Singapore
2018,484,819431.0,080929,Mexico
2018,76,9685856.0,080929,Brazil
2018,218,4318720.0,080929,Ecuador
2018,170,589940.0,080929,Colombia
2018,842,24832339.0,080929,USA
2018,604,644491.0,080929,Peru
2019,858,74762.0,080929,Uruguay
2019,484,607834.84,080929,Mexico
2019,724,2386897.939,080929,Spain
2019,188,82500.09,080929,Costa Rica
2019,276,931421.076,080929,Germany
2019,591,184850.43,080929,Panama
2019,124,2077760.56,080929,Canada
2019,156,1464206647.599,080929,China
2019,528,2777359.46,080929,Netherlands
2019,380,1089119.745,080929,Italy
2019,320,32791.261,080929,320
2019,214,26323.76,080929,214
2019,826,11642550.223,080929,UK
2019,251,1488827.84,080929,251
2019,56,323343.17,080929,Belgium
2019,392,441480.87,080929,Japan
2019,222,25099.4,080929,222
2019,410,32993494.658,080929,South Korea
2019,862,206950.19,080929,862
2019,340,27129.22,080929,340
2019,699,821700.868,080929,699
2019,490,19172331.363,080929,Taiwan
2019,414,2477.39,080929,Kuwait
2019,422,13918.837,080929,422
2019,458,62499.37,080929,Malaysia
2019,344,5378311.89,080929,Hong Kong
2019,258,106957.15,080929,258
2019,260,37892.0,080929,260
2019,196,15411.97,080929,196
2019,899,36967.0,080929,899
2019,764,8528824.814,080929,Thailand
2019,784,311057.83,080929,UAE
2019,608,1062112.273,080929,Philippines
2019,634,7082.75,080929,Qatar
2019,643,1315090.765,080929,Russia
2019,660,81800.9,080929,Anguilla
2019,682,424570.92,080929,Saudi Arabia
2019,686,51359.0,080929,686
2019,702,1213759.09,080929,Singapore
2019,48,13909.24,080929,48
2019,372,24777.6,080929,372
2019,96,37104.092,080929,96
2019,116,433699.74,080929,Cambodia
2019,76,12319986.895,080929,Brazil
2019,218,4119410.87,080929,Ecuador
2019,170,528202.414,080929,Colombia
2019,68,630729.04,080929,68
2019,842,28010355.52,080929,USA
2019,32,41568.0,080929,Argentina
2019,604,765467.49,080929,Peru
2020,858,29072.0,080929,Uruguay
2020,484,906469.84,080929,Mexico
2020,724,2548244.899,080929,Spain
2020,276,553057.0,080929,Germany
2020,188,62330.52,080929,Costa Rica
2020,591,177111.21,080929,Panama
2020,528,2090473.57,080929,Netherlands
2020,124,3028235.519,080929,Canada
2020,156,1457283800.037,080929,China
2020,214,65484.02,080929,214
2020,320,89532.577,080929,320
2020,251,1351995.23,080929,251
2020,380,528464.71,080929,Italy
2020,826,9673761.749,080929,UK
2020,392,681380.116,080929,Japan
2020,862,104476.38,080929,862
2020,222,17075.51,080929,222
2020,410,25120013.167,080929,South Korea
2020,56,410976.16,080929,Belgium
2020,699,1066448.08,080929,699
2020,340,8525.0,080929,340
2020,558,3540.0,080929,558
2020,490,16299655.505,080929,Taiwan
2020,414,5502.58,080929,Kuwait
2020,458,80388.29,080929,Malaysia
2020,344,3251755.152,080929,Hong Kong
2020,258,30031.0,080929,258
2020,260,53360.0,080929,260
2020,634,5587.2,080929,Qatar
2020,643,1371785.988,080929,Russia
2020,660,181413.51,080929,Anguilla
2020,682,349675.81,080929,Saudi Arabia
2020,702,320392.074,080929,Singapore
2020,704,74605.2,080929,Vietnam
2020,300,9899.4,080929,300
2020,899,88108.86,080929,899
2020,104,5290.58,080929,104
2020,116,359917.114,080929,Cambodia
2020,764,7757608.424,080929,Thailand
2020,784,395939.41,080929,UAE
2020,608,1123613.339,080929,Philippines
2020,620,26928.98,080929,620
2020,218,3654108.744,080929,Ecuador
2020,76,10315206.366,080929,Brazil
2020,170,613041.97,080929,Colombia
2020,68,844077.702,080929,68
2020,842,27021751.042,080929,USA
2020,32,23296.0,080929,Argentina
2020,604,182556.0,080929,Peru
2021,528,4393660.791,080929,Netherlands
2021,899,36723.77,080929,899
2021,251,1194515.465,080929,251
2021,300,6062.4,080929,300
2021,414,30450.603,080929,Kuwait
2021,68,1930375.143,080929,68
2021,124,4119645.559,080929,Canada
2021,32,335004.46,080929,Argentina
2021,410,42208398.628,080929,South Korea
2021,660,333288.379,080929,Anguilla
2021,170,679738.023,080929,Colombia
2021,724,4393848.007,080929,Spain
2021,116,550571.941,080929,Cambodia
2021,276,388780.078,080929,Germany
2021,56,163943.312,080929,Belgium
2021,858,104650.687,080929,Uruguay
2021,608,956791.917,080929,Philippines
2021,634,8899.86,080929,Qatar
2021,702,535441.908,080929,Singapore
2021,642,3087.5,080929,642
2021,643,1524532.024,080929,Russia
2021,842,46636895.202,080929,USA
2021,484,1298152.313,080929,Mexico
2021,490,28263691.361,080929,Taiwan
2021,320,83066.25,080929,320
2021,218,6511941.223,080929,Ecuador
2021,604,286588.084,080929,Peru
2021,764,7126093.187,080929,Thailand
2021,862,211285.59,080929,862
2021,372,167813.91,080929,372
2021,344,3704642.159,080929,Hong Kong
2021,392,1569502.685,080929,Japan
2021,458,364008.769,080929,Malaysia
2021,380,471063.424,080929,Italy
2021,682,606055.335,080929,Saudi Arabia
2021,258,56519.27,080929,258
2021,48,4379.035,080929,48
2021,156,1484980063.998,080929,China
2021,76,10725258.617,080929,Brazil
2021,352,33725.374,080929,352
2021,360,155884.6,080929,Indonesia
2021,340,25742.77,080929,340
2021,699,2252611.608,080929,699
2021,704,1924070.782,080929,Vietnam
2021,260,64760.01,080929,260
