year,month,period,value_usd
2020,1,202001,7229597.615
2020,2,202002,1498246.79
2020,3,202003,40641.0
2020,8,202008,22825.0
2020,11,202011,3392559.065
2020,12,202012,14837881.573
2021,1,202101,13408141.884
2021,2,202102,5248099.74
2021,3,202103,1522327.233
2021,8,202108,29904.0
2021,11,202111,2447620.939
2021,12,202112,23980801.406
2022,1,202201,18968243.13
2022,2,202202,16182207.421
2022,3,202203,2887140.34
2022,5,202205,40104.5
2022,6,202206,159731.75
2022,11,202211,3429944.78
2022,12,202212,17577433.522
2023,2,202302,22610129.705
2023,3,202303,1358879.8
2023,5,202305,706621.0
2023,6,202306,2295775.84
2023,7,202307,71601.52
2023,9,202309,82287.32
2023,11,202311,3427809.27
2024,1,202401,39701010.71
2024,3,202403,2729762.88
2024,4,202404,36000.0
2024,12,202412,27543074.539
