year,bilateral_usd,bilateral_kg,chile_side_usd,china_side_usd,chile_to_world_usd,chile_to_world_kg,china_from_world_usd,china_share_of_chile_exports_pct,chile_share_of_china_imports_pct
2005,79839.16,17155.0,79839.16,,77233358.8,17873943.13,,0.10337393224959679,
2006,1251884.28,221639.0,1251884.28,,105743099.35,22440899.45,676468.0,1.183892176128087,185.06186249756087
2007,891762.0,247048.0,,891762.0,127729797.12,26777970.88,2245310.0,0.6981628563632686,39.716653825084286
2008,15845057.371,3839940.0,15845057.371,19652746.0,,,,,
2009,7804757.503,1354416.6,7804757.503,,122238709.312,23465735.957,37289515.0,6.384849404029021,20.93016630277975
2010,37168042.216,5410610.8,37168042.216,65840910.0,255952483.424,44142989.075,88975249.0,14.52146184275501,41.773462433356045
2011,95066409.67,13447323.7,95066409.67,134898098.0,365376840.464,64651306.734,178324402.0,26.01872892361571,53.31093703597559
2012,189411221.0,28028202.9,189411221.0,235669973.0,5087790.0,940413.36,,3722.8584709667657,
2013,116602.82,16580.0,116602.82,,391333633.368,53679975.011,298419200.0,0.029796268467001338,0.03907349795187441
2014,443216688.04800004,57097479.975,443216688.04800004,426520175.0,593814913.629,85229031.135,531036695.0,74.63886101131341,83.46253511689997
2015,421089209.0,64870876.0,421089209.0,,517345682.0,83481831.0,1344531048.0,81.39416712093096,31.3186675477947
2016,729695707.0,95356413.0,729695707.0,1300853376.0,850871661.0,118352262.0,1593327770.0,85.75860972292976,45.7969616006881
2017,481539991.0,63548642.0,481539991.0,1090839974.0,572936734.0,81534354.0,1542520794.0,84.04767270516818,31.217730929337474
2018,1010535037.0,159792421.0,1010535037.0,1127000459.0,1133218647.0,184877072.0,1306234376.0,89.17388005176375,77.3624592620582
2019,1464206647.599,195565478.37,1464206647.599,1231912057.0,1609165013.2740002,220928224.892,1399923694.0,90.9917028720337,104.59188982046045
2020,1459170850.1069999,212020266.607,1459170850.1069999,,1582577957.362,232276817.30699998,,92.20214671378922,
2021,1487565650.7879999,303376517.0,1487565650.7879999,1879128154.0,1683077151.5279999,336374805.15,1995100920.0,88.38368754738886,74.56092250150432
2022,2004552877.103,351429230.4,2004552877.103,2673508015.0,2219282433.836,397306522.85999995,2765777440.0,90.32437000991159,72.4770130854419
2023,2226862474.464,329719500.482,2226862474.464,2553375493.0,2447776115.75,376490669.552,,90.9749245503071,
2024,3245157057.926,480414469.559,3245157057.926,3575618941.0,346477.393,64012.5,3685203694.0,936614.3718144406,88.05909597913261
