partner_name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
196,200741.787,97882.551,15185.0,3000.0,2891.25,3364.0,2539.0,0.0,2529.0,15411.97,0.0,2810.448,0.0,4384.6,6188.7
214,14268.0,10486.59,28030.0,21148.82,41939.84,28590.0,66243.0,30051.0,36450.0,26323.76,65484.02,10844.55,64227.13,83295.26,162206.75
251,1994200.126,1950346.112,2296785.0,2269332.918,2378878.67,1408259.0,2035764.0,1154801.0,1203341.0,1488827.84,1351995.23,1194515.465,896479.63,662491.01,631665.471
258,16264.133,272480.396,0.0,48064.66,15351.29,21870.0,40271.0,72926.0,61145.0,106957.15,30031.0,56519.27,69057.46,48035.1,167229.59
320,32765.6,19367.8,9814.0,21710.85,25886.09,32555.0,14315.0,32032.0,49112.0,32791.261,89532.577,83066.25,163640.51,56728.09,177504.1
372,26053.29,0.0,0.0,6142.3,89410.35,60735.0,29866.0,35671.0,9067.0,24777.6,0.0,167813.91,0.0,0.0,5025.7
620,127058.29,63524.5,3897.0,7871.3,0.0,6043.0,39631.0,21818.0,29550.0,0.0,26928.98,30536.0,37196.34,0.0,8862.67
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132435.98
68,180820.377,113461.144,233256.0,212840.35,362815.89,313988.0,473108.0,519973.0,567581.0,630729.04,844077.702,1930375.143,1082568.96,1060419.78,1113284.86
699,166108.44,466343.091,592191.0,304129.37,301074.922,125954.0,245435.0,208931.0,508284.0,821700.868,1066448.08,2252611.608,2982308.72,2680292.165,4834944.84
862,657694.015,1791452.792,907522.0,866119.73,25731.0,3840.0,0.0,0.0,0.0,206950.19,104476.38,211285.59,419801.06,245140.12,698835.32
899,111516.87,176099.35,192499.0,292039.01,154825.8,158943.0,207471.0,72448.0,80088.0,36967.0,88108.86,36723.77,67759.79,224901.21,63114.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106344.0,81800.9,181413.51,333288.379,354701.33,142225.45,225188.92
Argentina,36800.0,22400.0,20880.0,5504.0,36610.92,0.0,0.0,0.0,0.0,41568.0,23296.0,335004.46,554514.41,538503.36,82280.26
