year,month,period,value_usd,net_wgt_kg,date
2018,1,201801,531859004,79431800,2018-01-01
2018,2,201802,342854076,54284600,2018-02-01
2018,3,201803,5661999,893145,2018-03-01
2018,5,201805,454184,56000,2018-05-01
2018,10,201810,15120,975,2018-10-01
2018,11,201811,36004847,3067230,2018-11-01
2018,12,201812,210151229,25750800,2018-12-01
2019,1,201901,783753178,115904000,2019-01-01
2019,2,201902,82015811,12177900,2019-02-01
2019,3,201903,3630512,562834,2019-03-01
2019,4,201904,3559057,18267,2019-04-01
2019,10,201910,248612,19535,2019-10-01
2019,11,201911,68243231,5750750,2019-11-01
2019,12,201912,290461656,36448400,2019-12-01
2020,1,202001,957186974,130831000,2020-01-01
2020,2,202002,217142378,30402500,2020-02-01
2020,3,202003,20613700,3075290,2020-03-01
2020,4,202004,960754,156490,2020-04-01
2020,6,202006,137276,18400,2020-06-01
2020,7,202007,2430627,326355,2020-07-01
2020,10,202010,30478,1680,2020-10-01
2020,11,202011,55032928,3352730,2020-11-01
2020,12,202012,273665058,26665600,2020-12-01
2021,1,202101,1065152598,148655000,2021-01-01
2021,2,202102,566371138,115821000,2021-02-01
2021,3,202103,108686332,25413700,2021-03-01
2021,4,202104,3179390,750448,2021-04-01
2021,7,202107,62971,18400,2021-07-01
2021,8,202108,155526,19280,2021-08-01
2021,11,202111,18266862,974318,2021-11-01
2021,12,202112,117253337,8265410,2021-12-01
2022,1,202201,1043995054,129824000,2022-01-01
2022,2,202202,802975246,111135000,2022-02-01
2022,3,202203,327732858,54194700,2022-03-01
2022,4,202204,29876723,5664390,2022-04-01
2022,6,202206,539792,86890,2022-06-01
2022,8,202208,169000,32280,2022-08-01
2022,10,202210,141972,18725,2022-10-01
2022,11,202211,62935664,3716900,2022-11-01
2022,12,202212,468112726,53681600,2022-12-01
2023,1,202301,1691813420,239686000,2023-01-01
2023,2,202302,378638588,57605700,2023-02-01
2023,3,202303,56152023,8706460,2023-03-01
2023,6,202306,87906,18200,2023-06-01
2023,10,202310,165170,5123,2023-10-01
2023,11,202311,55316294,2684500,2023-11-01
2023,12,202312,314276960,25658600,2023-12-01
2024,1,202401,1542076438,187205000,2024-01-01
2024,2,202402,985890998,128193000,2024-02-01
2024,3,202403,225349633,30568800,2024-03-01
2024,4,202404,10044710,1466420,2024-04-01
2024,5,202405,113797,5040,2024-05-01
2024,10,202410,141676,4588,2024-10-01
2024,11,202411,88211288,4353030,2024-11-01
2024,12,202412,723790401,87183000,2024-12-01
