year,Chile->China (USD),Chile->World (USD),China<-World (USD),China % of Chile exports,Chile % of China imports
2005,79839.16,77233358.8,,0.10337393224959679,
2006,1251884.28,105743099.35,676468.0,1.183892176128087,185.06186249756087
2007,891762.0,127729797.12,2245310.0,0.6981628563632686,39.716653825084286
2008,15845057.371,,,,
2009,7804757.503,122238709.312,37289515.0,6.384849404029021,20.93016630277975
2010,37168042.216,255952483.424,88975249.0,14.52146184275501,41.773462433356045
2011,95066409.67,365376840.464,178324402.0,26.01872892361571,53.31093703597559
2012,189411221.0,5087790.0,,3722.8584709667657,
2013,116602.82,391333633.368,298419200.0,0.029796268467001338,0.03907349795187441
2014,443216688.04800004,593814913.629,531036695.0,74.63886101131341,83.46253511689997
2015,421089209.0,517345682.0,1344531048.0,81.39416712093096,31.3186675477947
2016,729695707.0,850871661.0,1593327770.0,85.75860972292976,45.7969616006881
2017,481539991.0,572936734.0,1542520794.0,84.04767270516818,31.217730929337474
2018,1010535037.0,1133218647.0,1306234376.0,89.17388005176375,77.3624592620582
2019,1464206647.599,1609165013.2740002,1399923694.0,90.9917028720337,104.59188982046045
2020,1459170850.1069999,1582577957.362,,92.20214671378922,
2021,1487565650.7879999,1683077151.5279999,1995100920.0,88.38368754738886,74.56092250150432
2022,2004552877.103,2219282433.836,2765777440.0,90.32437000991159,72.4770130854419
2023,2226862474.464,2447776115.75,,90.9749245503071,
2024,3245157057.926,346477.393,3685203694.0,936614.3718144406,88.05909597913261
