year,reporter,partner,cmd,value_usd,net_wgt_kg,partner_name
2012,156,152,080929,235669973,33048223.0,Chile
2014,156,152,080929,426520175,52790031.0,Chile
2016,156,152,080929,650426688,140478649.914,Chile
2016,156,152,080929,648182871,139994032.065,Chile
2016,156,152,080929,2233225,482330.198,Chile
2016,156,152,080929,10592,2287.652,Chile
2017,156,152,080929,149600,17600.0,Chile
2017,156,152,080929,545270387,68933272.0,Chile
2017,156,152,080929,545419987,68950872.0,Chile
2018,156,152,080929,1127000459,163484550.0,Chile
2019,156,152,080929,1231912057,170881686.0,Chile
2021,156,152,080929,1879128154,299917556.0,Chile
2022,156,152,080929,2673508015,358302285.0,Chile
2023,156,152,080929,2553375493,334382583.0,Chile
2024,156,152,080929,3575618941,438978878.0,Chile
2007,156,152,080920,891762,247048.0,Chile
2008,156,152,080920,19652746,2827070.0,Chile
2010,156,152,080920,65840910,8195912.0,Chile
2011,156,152,080920,134898098,18801084.0,Chile
2013,156,0,080929,298419200,37538879.0,World
2014,156,0,080929,531036695,65063200.0,World
2015,156,0,080929,528872123,73881260.0,World
2015,156,0,080929,227340,47579.0,World
2015,156,0,080929,11481050,666881.0,World
2015,156,0,080929,24679273,2992740.0,World
2015,156,0,080929,6016583,392266.0,World
2015,156,0,080929,672265524,91484337.0,World
2015,156,0,080929,3350466,509505.0,World
2015,156,0,080929,97638689,12994106.0,World
2016,156,0,080929,288498,62309.574,World
2016,156,0,080929,10386310,2243227.151,World
2016,156,0,080929,2279320,492285.76,World
2016,156,0,080929,16565704,3577847.859,World
2016,156,0,080929,200621,43329.967,World
2016,156,0,080929,15070210,3254852.228,World
2016,156,0,080929,648182871,139994032.065,World
2016,156,0,080929,10592,2287.652,World
2016,156,0,080929,103679759,22392673.666,World
2016,156,0,080929,796663885,172062845.921,World
2017,156,0,080929,440221,43445.0,World
2017,156,0,080929,171667299,27169565.0,World
2017,156,0,080929,6344061,358739.0,World
2017,156,0,080929,771259494,101885167.0,World
2017,156,0,080929,25079151,4127997.0,World
2017,156,0,080929,9360,1560.0,World
2017,156,0,080929,21931741,1168653.0,World
2017,156,0,080929,545270387,68933272.0,World
2017,156,0,080929,243841,38515.0,World
2017,156,0,080929,273433,43421.0,World
2018,156,0,080929,1306234376,186273410.0,World
2019,156,0,080929,1399923694,193587232.0,World
2021,156,0,080929,1995100920,313660911.0,World
2022,156,0,080929,2765719550,366937519.0,World
2024,156,0,080929,3685203694,451017903.0,World
2017,156,0,080921,903,100.0,World
2017,156,0,080921,903,100.0,World
2022,156,0,080921,57890,6000.0,World
2006,156,0,080920,676468,187857.0,World
2007,156,0,080920,2245310,611458.0,World
2009,156,0,080920,37289515,6184068.0,World
2010,156,0,080920,88975249,11222318.0,World
2011,156,0,080920,178324402,23772973.0,World
