year,imports_from_chile_usd,imports_from_world_usd,chile_share_pct
2006,,676468.0,
2007,891762.0,2245310.0,39.716653825084286
2008,19652746.0,,
2009,,37289515.0,
2010,65840910.0,88975249.0,73.99912980294104
2011,134898098.0,178324402.0,75.64758187160498
2012,235669973.0,,
2013,,298419200.0,
2014,426520175.0,531036695.0,80.31839965409547
2015,,1344531048.0,
2016,1300853376.0,1593327770.0,81.64380239227236
2017,1090839974.0,1542520794.0,70.71800770810225
2018,1127000459.0,1306234376.0,86.27857907484744
2019,1231912057.0,1399923694.0,87.99851465332796
2021,1879128154.0,1995100920.0,94.18712282484437
2022,2673508015.0,2765777440.0,96.66388829174917
2023,2553375493.0,,
2024,3575618941.0,3685203694.0,97.02635832102257
