year,reporter,partner,cmd,value_usd,net_wgt_kg,partner_name
2012,152,156,080929,187955442.0,27809076.2,China
2014,152,156,080929,443019548.068,57069071.975,China
2015,152,156,080929,420629693.0,64839676.0,China
2016,152,156,080929,729387975.0,95320333.0,China
2017,152,156,080929,481176153.0,63507395.0,China
2018,152,156,080929,1009955420.0,159701069.0,China
2019,152,156,080929,1464206647.599,195565478.37,China
2020,152,156,080929,1457283800.037,211822660.107,China
2021,152,156,080929,1484980063.998,302878623.0,China
2022,152,156,080929,2001322142.333,351021520.5,China
2023,152,156,080929,2226862474.464,329719500.482,China
2024,152,156,080929,3244850899.593,480364297.059,China
2012,152,156,080921,1455779.0,219126.7,China
2013,152,156,080921,116602.82,16580.0,China
2014,152,156,080921,197139.98,28408.0,China
2015,152,156,080921,459516.0,31200.0,China
2016,152,156,080921,307732.0,36080.0,China
2017,152,156,080921,363838.0,41247.0,China
2018,152,156,080921,579617.0,91352.0,China
2020,152,156,080921,1887050.07,197606.5,China
2021,152,156,080921,2585586.79,497894.0,China
2022,152,156,080921,3230734.77,407709.9,China
2024,152,156,080921,306158.333,50172.5,China
2005,152,156,080920,79839.16,17155.0,China
2006,152,156,080920,1251884.28,221639.0,China
2008,152,156,080920,15845057.371,3839940.0,China
2009,152,156,080920,7804757.503,1354416.6,China
2010,152,156,080920,37168042.216,5410610.8,China
2011,152,156,080920,95066409.67,13447323.7,China
2013,152,0,080929,391333633.368,53679975.011,World
2014,152,0,080929,593501402.009,85175073.135,World
2015,152,0,080929,516760988.0,83409882.0,World
2016,152,0,080929,850547176.0,118308607.0,World
2017,152,0,080929,572526137.0,81488067.0,World
2018,152,0,080929,1131872949.0,184667877.0,World
2019,152,0,080929,1607196481.413,220688920.192,World
2020,152,0,080929,1580245963.532,232013956.707,World
2021,152,0,080929,1678030947.491,335516044.95,World
2022,152,0,080929,2214965833.236,396693635.52,World
2023,152,0,080929,2447776115.75,376490669.552,World
2012,152,0,080921,5087790.0,940413.36,World
2014,152,0,080921,313511.62,53958.0,World
2015,152,0,080921,584694.0,71949.0,World
2016,152,0,080921,324485.0,43655.0,World
2017,152,0,080921,410597.0,46287.0,World
2018,152,0,080921,1345698.0,209195.0,World
2019,152,0,080921,1968531.861,239304.7,World
2020,152,0,080921,2331993.83,262860.6,World
2021,152,0,080921,5046204.037,858760.2,World
2022,152,0,080921,4316600.6,612887.34,World
2024,152,0,080921,346477.393,64012.5,World
2005,152,0,080920,77233358.8,17873943.13,World
2006,152,0,080920,105743099.35,22440899.45,World
2007,152,0,080920,127729797.12,26777970.88,World
2009,152,0,080920,122238709.312,23465735.957,World
2010,152,0,080920,255952483.424,44142989.075,World
2011,152,0,080920,365376840.464,64651306.734,World
