year,value_to_china_usd,value_to_world_usd,china_share_pct
2005,79839.16,77233358.8,0.10337393224959679
2006,1251884.28,105743099.35,1.183892176128087
2007,,127729797.12,
2008,15845057.371,,
2009,7804757.503,122238709.312,6.384849404029021
2010,37168042.216,255952483.424,14.52146184275501
2011,95066409.67,365376840.464,26.01872892361571
2012,189411221.0,5087790.0,3722.8584709667657
2013,116602.82,391333633.368,0.029796268467001338
2014,443216688.04800004,593814913.629,74.63886101131341
2015,421089209.0,517345682.0,81.39416712093096
2016,729695707.0,850871661.0,85.75860972292976
2017,481539991.0,572936734.0,84.04767270516818
2018,1010535037.0,1133218647.0,89.17388005176375
2019,1464206647.599,1609165013.2740002,90.9917028720337
2020,1459170850.1069999,1582577957.362,92.20214671378922
2021,1487565650.7879999,1683077151.5279999,88.38368754738886
2022,2004552877.103,2219282433.836,90.32437000991159
2023,2226862474.464,2447776115.75,90.9749245503071
2024,3245157057.926,346477.393,936614.3718144406
