country,indicator,year,value
Chile,GDP_USD,1960,4211103676.74027
Chile,GDP_USD,1961,4948564550.91046
Chile,GDP_USD,1962,5765971144.47142
Chile,GDP_USD,1963,5702520146.03167
Chile,GDP_USD,1964,6065708668.32735
Chile,GDP_USD,1965,6183988944.34606
Chile,GDP_USD,1966,7256882086.19585
Chile,GDP_USD,1967,7145068067.64138
Chile,GDP_USD,1968,7286820526.02462
Chile,GDP_USD,1969,8456519044.38223
Chile,GDP_USD,1970,9261006540.15907
Chile,GDP_USD,1971,10999807567.1235
Chile,GDP_USD,1972,12057501634.979
Chile,GDP_USD,1973,17237336172.7878
Chile,GDP_USD,1974,16584311220.1384
Chile,GDP_USD,1975,7812161793.11971
Chile,GDP_USD,1976,10523479088.8075
Chile,GDP_USD,1977,14272711436.7475
Chile,GDP_USD,1978,16373093553.7155
Chile,GDP_USD,1979,22249574627.6911
Chile,GDP_USD,1980,29586676576.0951
Chile,GDP_USD,1981,35180322211.2903
Chile,GDP_USD,1982,19710229067.2864
Chile,GDP_USD,1983,20629678694.0684
Chile,GDP_USD,1984,19974595028.1582
Chile,GDP_USD,1985,17933557359.8036
Chile,GDP_USD,1986,19197818084.6757
Chile,GDP_USD,1987,22605488850.8981
Chile,GDP_USD,1988,26174858613.8456
Chile,GDP_USD,1989,30101767991.1135
Chile,GDP_USD,1990,33428580448.2715
Chile,GDP_USD,1991,38232330917.2011
Chile,GDP_USD,1992,46538895685.8088
Chile,GDP_USD,1993,49934943320.8828
Chile,GDP_USD,1994,57438273591.0521
Chile,GDP_USD,1995,73820425701.6603
Chile,GDP_USD,1996,78584098983.6374
Chile,GDP_USD,1997,85741415285.165
Chile,GDP_USD,1998,81990010704.0602
Chile,GDP_USD,1999,75578685735.5219
Chile,GDP_USD,2000,78339750721.364
Chile,GDP_USD,2001,71574739561.4329
Chile,GDP_USD,2002,70264045939.2773
Chile,GDP_USD,2003,76492579644.0605
Chile,GDP_USD,2004,99075985773.6682
Chile,GDP_USD,2005,122294145163.192
Chile,GDP_USD,2006,153843518170.864
Chile,GDP_USD,2007,172491076033.863
Chile,GDP_USD,2008,179894594475.405
Chile,GDP_USD,2009,171777900623.892
Chile,GDP_USD,2010,217051209238.534
Chile,GDP_USD,2011,251382573893.87
Chile,GDP_USD,2012,267024782486.855
Chile,GDP_USD,2013,277395018842.417
Chile,GDP_USD,2014,259560978224.359
Chile,GDP_USD,2015,242450355830.884
Chile,GDP_USD,2016,249344863928.438
Chile,GDP_USD,2017,276154259981.097
Chile,GDP_USD,2018,295857562991.709
Chile,GDP_USD,2019,278285058719.466
Chile,GDP_USD,2020,254042159309.311
Chile,GDP_USD,2021,315325547162.072
Chile,GDP_USD,2022,301226575540.242
Chile,GDP_USD,2023,335518054097.637
Chile,GDP_USD,2024,330267137371.592
China,GDP_USD,1960,59846235024.7318
China,GDP_USD,1961,50162299349.7871
China,GDP_USD,1962,47310737754.2287
China,GDP_USD,1963,50812227918.5753
China,GDP_USD,1964,59821862703.4023
China,GDP_USD,1965,70565994356.1828
China,GDP_USD,1966,76854053259.209
China,GDP_USD,1967,73011350596.2485
China,GDP_USD,1968,70980323818.7853
China,GDP_USD,1969,79847786729.1898
China,GDP_USD,1970,92752930873.1912
China,GDP_USD,1971,99959013879.6308
China,GDP_USD,1972,113871930713.841
China,GDP_USD,1973,138764340892.0
China,GDP_USD,1974,144418433058.472
China,GDP_USD,1975,163687619735.857
China,GDP_USD,1976,154196810058.643
China,GDP_USD,1977,175226595859.778
China,GDP_USD,1978,149788617886.179
China,GDP_USD,1979,178573913043.478
China,GDP_USD,1980,191487500000.0
China,GDP_USD,1981,196218253968.254
China,GDP_USD,1982,205480916030.534
China,GDP_USD,1983,231130268199.234
China,GDP_USD,1984,260442857142.857
China,GDP_USD,1985,310064625850.34
